subject,trial,stimword,stimcolor,respcolor,reaction_time
156856,15,G,G,G,1154
156856,16,R,R,R,1295
156856,17,B,B,B,1154
156856,18,R,R,R,796
156856,19,Y,Y,Y,764
156856,20,G,G,G,1155
156856,21,R,R,R,1357
156856,22,G,G,G,1232
156856,23,Y,Y,Y,734
156856,24,R,R,R,904
156856,25,B,B,B,1030
156856,26,R,R,R,826
156856,27,G,G,G,1482
156856,28,Y,Y,Y,656
156856,29,G,G,G,998
156856,30,R,R,R,1154
156856,31,B,B,B,734
156856,32,G,G,G,1279
156856,33,B,B,B,1123
156856,34,Y,Y,Y,562
156856,35,R,R,R,796
156856,36,G,G,G,702
156856,37,B,B,B,951
156856,38,Y,Y,Y,546
156856,39,R,R,R,1014
156856,40,B,B,B,1030
156856,41,Y,Y,Y,608
156856,42,B,B,B,905
156856,43,R,R,R,639
156856,44,G,G,G,671
156856,45,B,B,B,921
156856,46,Y,R,R,1373
156856,47,B,G,G,1373
156856,48,Y,R,R,1263
156856,49,B,Y,Y,983
156856,50,G,R,G,1326
156856,51,B,G,B,936
156856,52,R,B,B,1513
156856,53,B,R,R,1982
156856,54,R,Y,Y,780
156856,55,G,B,B,1107
156856,56,R,G,G,780
156856,57,B,Y,Y,749
156856,58,G,R,R,1248
156856,59,Y,G,G,889
156856,60,R,Y,Y,905
156856,61,Y,G,G,2355
156856,62,B,Y,Y,827
156856,63,G,B,B,1092
156856,64,Y,R,R,827
156856,65,B,G,G,842
156856,66,R,Y,Y,780
156856,67,B,R,R,1482
156856,68,R,Y,Y,765
156856,69,Y,B,B,1341
156856,70,B,R,R,1607
156856,71,R,G,G,1248
156856,72,G,R,R,998
156856,73,R,Y,Y,827
156856,74,B,R,R,2199
156856,75,R,G,G,1529
156856,76,G,R,G,219
156856,77,B,G,G,2028
156856,78,Y,B,B,1217
156856,79,G,R,R,1342
156856,80,Y,B,B,1357
156856,81,B,G,G,905
156856,82,R,B,B,1076
156856,83,B,Y,Y,952
156856,84,R,B,B,733
156856,85,Y,G,G,873
156856,86,R,B,B,1482
156856,87,B,Y,Y,734
156856,88,Y,R,R,858
156856,89,R,B,B,920
156856,90,Y,R,R,1123
156857,2,B,G,G,4000
156857,3,R,Y,Y,2920
156857,4,B,R,R,2184
156857,5,Y,B,B,2152
156857,6,B,G,G,5312
156857,7,Y,R,R,2432
156857,8,G,B,B,3200
156857,9,Y,R,R,5087
156857,10,G,B,B,1937
156857,11,B,R,R,1487
156857,12,Y,B,B,1263
156857,13,R,G,G,1215
156857,14,Y,B,B,2384
156857,15,R,Y,B,616
156857,16,G,B,B,1984
156857,17,Y,G,G,1368
156857,18,B,R,R,2768
156857,19,R,Y,Y,1391
156857,20,Y,B,B,1439
156857,21,R,G,G,1263
156857,22,B,Y,Y,1799
156857,23,Y,B,B,2880
156857,24,R,G,G,1681
156857,25,Y,R,R,1664
156857,26,R,B,G,1527
156857,27,G,R,R,2912
156857,28,B,Y,Y,2032
156857,29,G,R,R,3623
156857,30,B,Y,Y,1207
156857,31,R,G,G,1920
156857,32,B,R,R,2248
156857,33,R,G,G,1167
156857,34,B,R,R,1408
156857,35,R,G,G,1272
156857,36,G,B,B,2824
156857,37,R,G,G,1696
156857,38,B,R,R,2080
156857,39,G,B,B,1672
156857,40,B,Y,Y,1152
156857,41,G,R,R,1632
156857,42,B,Y,Y,1223
156857,43,Y,B,B,1416
156857,44,G,Y,Y,1104
156857,45,B,R,R,1392
156857,46,R,R,R,1701
156857,47,Y,Y,Y,880
156857,48,R,R,R,808
156857,49,B,B,B,1296
156857,50,R,R,R,840
156857,51,G,G,G,1000
156857,52,R,R,R,696
156857,53,Y,Y,Y,848
156857,54,R,R,R,768
156857,55,Y,Y,Y,776
156857,56,R,R,R,1184
156857,57,B,B,B,1400
156857,58,R,R,R,800
156857,59,B,B,B,1088
156857,60,R,R,R,896
156857,61,Y,Y,Y,888
156857,62,B,B,B,1344
156857,63,G,G,G,1200
156857,64,Y,Y,Y,1160
156857,65,G,G,G,1312
156857,66,B,B,B,1264
156857,67,R,R,R,856
156857,68,B,B,B,1368
156857,69,G,G,G,960
156857,70,Y,Y,Y,832
156857,71,G,G,G,1008
156857,72,B,B,B,1352
156857,73,Y,Y,Y,1032
156857,74,R,R,R,856
156857,75,G,G,G,968
156857,76,B,B,B,1256
156857,77,R,R,R,1000
156857,78,G,G,G,1200
156857,79,R,R,R,776
156857,80,B,B,B,944
156857,81,G,G,G,872
156857,82,B,B,B,936
156857,83,R,R,R,760
156857,84,G,G,G,904
156857,85,Y,Y,Y,808
156857,86,B,B,B,1400
156857,87,G,G,G,768
156857,88,R,R,R,584
156857,89,B,B,B,1128
156857,90,G,G,G,984
156858,2,B,G,G,4000
156858,3,R,Y,Y,2920
156858,4,B,R,R,2184
156858,5,Y,B,B,2152
156858,6,B,G,G,5312
156858,7,Y,R,R,2432
156858,8,G,B,B,3200
156858,9,Y,R,R,5087
156858,10,G,B,B,1937
156858,11,B,R,R,1487
156858,12,Y,B,B,1263
156858,13,R,G,G,1215
156858,14,Y,B,B,2384
156858,15,R,Y,B,616
156858,16,G,B,B,1984
156858,17,Y,G,G,1368
156858,18,B,R,R,2768
156858,19,R,Y,Y,1391
156858,20,Y,B,B,1439
156858,21,R,G,G,1263
156858,22,B,Y,Y,1799
156858,23,Y,B,B,2880
156858,24,R,G,G,1681
156858,25,Y,R,R,1664
156858,26,R,B,G,1527
156858,27,G,R,R,2912
156858,28,B,Y,Y,2032
156858,29,G,R,R,3623
156858,30,B,Y,Y,1207
156858,31,R,G,G,1920
156858,32,B,R,R,2248
156858,33,R,G,G,1167
156858,34,B,R,R,1408
156858,35,R,G,G,1272
156858,36,G,B,B,2824
156858,37,R,G,G,1696
156858,38,B,R,R,2080
156858,39,G,B,B,1672
156858,40,B,Y,Y,1152
156858,41,G,R,R,1632
156858,42,B,Y,Y,1223
156858,43,Y,B,B,1416
156858,44,G,Y,Y,1104
156858,45,B,R,R,1392
156858,46,R,R,R,1701
156858,47,Y,Y,Y,880
156858,48,R,R,R,808
156858,49,B,B,B,1296
156858,50,R,R,R,840
156858,51,G,G,G,1000
156858,52,R,R,R,696
156858,53,Y,Y,Y,848
156858,54,R,R,R,768
156858,55,Y,Y,Y,776
156858,56,R,R,R,1184
156858,57,B,B,B,1400
156858,58,R,R,R,800
156858,59,B,B,B,1088
156858,60,R,R,R,896
156858,61,Y,Y,Y,888
156858,62,B,B,B,1344
156858,63,G,G,G,1200
156858,64,Y,Y,Y,1160
156858,65,G,G,G,1312
156858,66,B,B,B,1264
156858,67,R,R,R,856
156858,68,B,B,B,1368
156858,69,G,G,G,960
156858,70,Y,Y,Y,832
156858,71,G,G,G,1008
156858,72,B,B,B,1352
156858,73,Y,Y,Y,1032
156858,74,R,R,R,856
156858,75,G,G,G,968
156858,76,B,B,B,1256
156858,77,R,R,R,1000
156858,78,G,G,G,1200
156858,79,R,R,R,776
156858,80,B,B,B,944
156858,81,G,G,G,872
156858,82,B,B,B,936
156858,83,R,R,R,760
156858,84,G,G,G,904
156858,85,Y,Y,Y,808
156858,86,B,B,B,1400
156858,87,G,G,G,768
156858,88,R,R,R,584
156858,89,B,B,B,1128
156858,90,G,G,G,984
156859,2,B,G,G,4000
156859,3,R,Y,Y,2920
156859,4,B,R,R,2184
156859,5,Y,B,B,2152
156859,6,B,G,G,5312
156859,7,Y,R,R,2432
156859,8,G,B,B,3200
156859,9,Y,R,R,5087
156859,10,G,B,B,1937
156859,11,B,R,R,1487
156859,12,Y,B,B,1263
156859,13,R,G,G,1215
156859,14,Y,B,B,2384
156859,15,R,Y,B,616
156859,16,G,B,B,1984
156859,17,Y,G,G,1368
156859,18,B,R,R,2768
156859,19,R,Y,Y,1391
156859,20,Y,B,B,1439
156859,21,R,G,G,1263
156859,22,B,Y,Y,1799
156859,23,Y,B,B,2880
156859,24,R,G,G,1681
156859,25,Y,R,R,1664
156859,26,R,B,G,1527
156859,27,G,R,R,2912
156859,28,B,Y,Y,2032
156859,29,G,R,R,3623
156859,30,B,Y,Y,1207
156859,31,R,G,G,1920
156859,32,B,R,R,2248
156859,33,R,G,G,1167
156859,34,B,R,R,1408
156859,35,R,G,G,1272
156859,36,G,B,B,2824
156859,37,R,G,G,1696
156859,38,B,R,R,2080
156859,39,G,B,B,1672
156859,40,B,Y,Y,1152
156859,41,G,R,R,1632
156859,42,B,Y,Y,1223
156859,43,Y,B,B,1416
156859,44,G,Y,Y,1104
156859,45,B,R,R,1392
156859,46,R,R,R,1701
156859,47,Y,Y,Y,880
156859,48,R,R,R,808
156859,49,B,B,B,1296
156859,50,R,R,R,840
156859,51,G,G,G,1000
156859,52,R,R,R,696
156859,53,Y,Y,Y,848
156859,54,R,R,R,768
156859,55,Y,Y,Y,776
156859,56,R,R,R,1184
156859,57,B,B,B,1400
156859,58,R,R,R,800
156859,59,B,B,B,1088
156859,60,R,R,R,896
156859,61,Y,Y,Y,888
156859,62,B,B,B,1344
156859,63,G,G,G,1200
156859,64,Y,Y,Y,1160
156859,65,G,G,G,1312
156859,66,B,B,B,1264
156859,67,R,R,R,856
156859,68,B,B,B,1368
156859,69,G,G,G,960
156859,70,Y,Y,Y,832
156859,71,G,G,G,1008
156859,72,B,B,B,1352
156859,73,Y,Y,Y,1032
156859,74,R,R,R,856
156859,75,G,G,G,968
156859,76,B,B,B,1256
156859,77,R,R,R,1000
156859,78,G,G,G,1200
156859,79,R,R,R,776
156859,80,B,B,B,944
156859,81,G,G,G,872
156859,82,B,B,B,936
156859,83,R,R,R,760
156859,84,G,G,G,904
156859,85,Y,Y,Y,808
156859,86,B,B,B,1400
156859,87,G,G,G,768
156859,88,R,R,R,584
156859,89,B,B,B,1128
156859,90,G,G,G,984
156860,1,G,Y,G,2949
156860,2,B,G,G,5024
156860,3,Y,B,B,2576
156860,4,R,G,G,1664
156860,5,Y,B,B,3216
156860,6,G,Y,Y,3624
156860,7,Y,R,R,2680
156860,8,R,Y,Y,4424
156860,9,Y,B,B,4696
156860,10,R,Y,Y,3335
156860,11,G,R,R,3176
156860,12,B,Y,Y,2280
156860,13,Y,G,G,2216
156860,14,G,R,R,2480
156860,15,B,G,G,1592
156860,16,R,Y,Y,1800
156860,17,B,G,G,2184
156860,18,Y,B,B,3872
156860,21,G,B,B,2608
156860,22,Y,R,R,2024
156860,23,R,Y,Y,2064
156860,24,G,B,B,2040
156860,25,R,Y,Y,2184
156860,26,G,R,R,2504
156860,27,Y,B,B,1264
156860,28,G,Y,Y,1632
156860,29,Y,G,G,1904
156860,30,G,B,B,1344
156860,31,R,G,G,2616
156860,32,B,R,R,2096
156860,33,G,Y,Y,2384
156860,34,R,G,G,1608
156860,35,B,R,R,1720
156860,36,R,Y,Y,2464
156860,37,G,B,B,1712
156860,38,Y,R,R,1872
156860,39,B,Y,Y,2064
156860,40,R,B,B,1927
156860,41,G,R,R,2304
156860,42,Y,G,G,1616
156860,43,B,R,R,1936
156860,44,R,B,B,1848
156860,45,B,G,G,1888
156860,46,R,R,R,1908
156860,47,G,G,G,1320
156860,48,Y,Y,Y,1335
156860,49,G,G,G,1231
156860,50,Y,Y,Y,1271
156860,51,G,G,G,1127
156860,52,R,R,R,1807
156860,53,Y,Y,Y,1623
156860,54,G,G,G,1367
156860,55,R,R,G,1896
156860,56,G,G,G,1624
156860,57,Y,Y,Y,2976
156860,58,R,R,R,2256
156860,59,B,B,B,1831
156860,60,Y,Y,Y,2184
156860,61,R,R,R,1288
156860,62,Y,Y,Y,1503
156860,63,R,R,R,1295
156860,64,G,G,G,1312
156860,65,R,R,R,1120
156860,66,Y,Y,Y,1367
156860,67,G,G,G,2207
156860,68,R,R,R,1088
156860,69,B,B,B,1568
156860,70,G,G,G,1063
156860,71,R,R,R,1440
156860,72,G,G,G,1287
156860,73,B,B,B,1959
156860,74,R,R,R,1776
156860,75,G,G,G,1751
156860,76,R,R,R,2319
156860,77,Y,Y,Y,1800
156860,78,G,G,G,1983
156860,79,Y,Y,Y,2112
156860,80,G,G,G,2072
156860,81,Y,Y,Y,2231
156860,82,G,G,G,1791
156860,83,Y,Y,Y,1287
156860,84,R,R,R,1800
156860,85,B,B,B,1255
156860,86,G,G,G,1591
156860,87,R,R,R,3303
156860,88,Y,Y,Y,2512
156860,89,G,G,G,1848
156860,90,B,B,B,2048
156861,1,G,Y,G,2949
156861,2,B,G,G,5024
156861,3,Y,B,B,2576
156861,4,R,G,G,1664
156861,5,Y,B,B,3216
156861,6,G,Y,Y,3624
156861,7,Y,R,R,2680
156861,8,R,Y,Y,4424
156861,9,Y,B,B,4696
156861,10,R,Y,Y,3335
156861,11,G,R,R,3176
156861,12,B,Y,Y,2280
156861,13,Y,G,G,2216
156861,14,G,R,R,2480
156861,15,B,G,G,1592
156861,16,R,Y,Y,1800
156861,17,B,G,G,2184
156861,18,Y,B,B,3872
156861,21,G,B,B,2608
156861,22,Y,R,R,2024
156861,23,R,Y,Y,2064
156861,24,G,B,B,2040
156861,25,R,Y,Y,2184
156861,26,G,R,R,2504
156861,27,Y,B,B,1264
156861,28,G,Y,Y,1632
156861,29,Y,G,G,1904
156861,30,G,B,B,1344
156861,31,R,G,G,2616
156861,32,B,R,R,2096
156861,33,G,Y,Y,2384
156861,34,R,G,G,1608
156861,35,B,R,R,1720
156861,36,R,Y,Y,2464
156861,37,G,B,B,1712
156861,38,Y,R,R,1872
156861,39,B,Y,Y,2064
156861,40,R,B,B,1927
156861,41,G,R,R,2304
156861,42,Y,G,G,1616
156861,43,B,R,R,1936
156861,44,R,B,B,1848
156861,45,B,G,G,1888
156861,46,R,R,R,1908
156861,47,G,G,G,1320
156861,48,Y,Y,Y,1335
156861,49,G,G,G,1231
156861,50,Y,Y,Y,1271
156861,51,G,G,G,1127
156861,52,R,R,R,1807
156861,53,Y,Y,Y,1623
156861,54,G,G,G,1367
156861,55,R,R,G,1896
156861,56,G,G,G,1624
156861,57,Y,Y,Y,2976
156861,58,R,R,R,2256
156861,59,B,B,B,1831
156861,60,Y,Y,Y,2184
156861,61,R,R,R,1288
156861,62,Y,Y,Y,1503
156861,63,R,R,R,1295
156861,64,G,G,G,1312
156861,65,R,R,R,1120
156861,66,Y,Y,Y,1367
156861,67,G,G,G,2207
156861,68,R,R,R,1088
156861,69,B,B,B,1568
156861,70,G,G,G,1063
156861,71,R,R,R,1440
156861,72,G,G,G,1287
156861,73,B,B,B,1959
156861,74,R,R,R,1776
156861,75,G,G,G,1751
156861,76,R,R,R,2319
156861,77,Y,Y,Y,1800
156861,78,G,G,G,1983
156861,79,Y,Y,Y,2112
156861,80,G,G,G,2072
156861,81,Y,Y,Y,2231
156861,82,G,G,G,1791
156861,83,Y,Y,Y,1287
156861,84,R,R,R,1800
156861,85,B,B,B,1255
156861,86,G,G,G,1591
156861,87,R,R,R,3303
156861,88,Y,Y,Y,2512
156861,89,G,G,G,1848
156861,90,B,B,B,2048
156862,2,B,G,G,4000
156862,3,R,Y,Y,2920
156862,4,B,R,R,2184
156862,5,Y,B,B,2152
156862,6,B,G,G,5312
156862,7,Y,R,R,2432
156862,8,G,B,B,3200
156862,9,Y,R,R,5087
156862,10,G,B,B,1937
156862,11,B,R,R,1487
156862,12,Y,B,B,1263
156862,13,R,G,G,1215
156862,14,Y,B,B,2384
156862,15,R,Y,B,616
156862,16,G,B,B,1984
156862,17,Y,G,G,1368
156862,18,B,R,R,2768
156862,19,R,Y,Y,1391
156862,20,Y,B,B,1439
156862,21,R,G,G,1263
156862,22,B,Y,Y,1799
156862,23,Y,B,B,2880
156862,24,R,G,G,1681
156862,25,Y,R,R,1664
156862,26,R,B,G,1527
156862,27,G,R,R,2912
156862,28,B,Y,Y,2032
156862,29,G,R,R,3623
156862,30,B,Y,Y,1207
156862,31,R,G,G,1920
156862,32,B,R,R,2248
156862,33,R,G,G,1167
156862,34,B,R,R,1408
156862,35,R,G,G,1272
156862,36,G,B,B,2824
156862,37,R,G,G,1696
156862,38,B,R,R,2080
156862,39,G,B,B,1672
156862,40,B,Y,Y,1152
156862,41,G,R,R,1632
156862,42,B,Y,Y,1223
156862,43,Y,B,B,1416
156862,44,G,Y,Y,1104
156862,45,B,R,R,1392
156862,46,R,R,R,1701
156862,47,Y,Y,Y,880
156862,48,R,R,R,808
156862,49,B,B,B,1296
156862,50,R,R,R,840
156862,51,G,G,G,1000
156862,52,R,R,R,696
156862,53,Y,Y,Y,848
156862,54,R,R,R,768
156862,55,Y,Y,Y,776
156862,56,R,R,R,1184
156862,57,B,B,B,1400
156862,58,R,R,R,800
156862,59,B,B,B,1088
156862,60,R,R,R,896
156862,61,Y,Y,Y,888
156862,62,B,B,B,1344
156862,63,G,G,G,1200
156862,64,Y,Y,Y,1160
156862,65,G,G,G,1312
156862,66,B,B,B,1264
156862,67,R,R,R,856
156862,68,B,B,B,1368
156862,69,G,G,G,960
156862,70,Y,Y,Y,832
156862,71,G,G,G,1008
156862,72,B,B,B,1352
156862,73,Y,Y,Y,1032
156862,74,R,R,R,856
156862,75,G,G,G,968
156862,76,B,B,B,1256
156862,77,R,R,R,1000
156862,78,G,G,G,1200
156862,79,R,R,R,776
156862,80,B,B,B,944
156862,81,G,G,G,872
156862,82,B,B,B,936
156862,83,R,R,R,760
156862,84,G,G,G,904
156862,85,Y,Y,Y,808
156862,86,B,B,B,1400
156862,87,G,G,G,768
156862,88,R,R,R,584
156862,89,B,B,B,1128
156862,90,G,G,G,984
156863,1,G,Y,G,2949
156863,2,B,G,G,5024
156863,3,Y,B,B,2576
156863,4,R,G,G,1664
156863,5,Y,B,B,3216
156863,6,G,Y,Y,3624
156863,7,Y,R,R,2680
156863,8,R,Y,Y,4424
156863,9,Y,B,B,4696
156863,10,R,Y,Y,3335
156863,11,G,R,R,3176
156863,12,B,Y,Y,2280
156863,13,Y,G,G,2216
156863,14,G,R,R,2480
156863,15,B,G,G,1592
156863,16,R,Y,Y,1800
156863,17,B,G,G,2184
156863,18,Y,B,B,3872
156863,21,G,B,B,2608
156863,22,Y,R,R,2024
156863,23,R,Y,Y,2064
156863,24,G,B,B,2040
156863,25,R,Y,Y,2184
156863,26,G,R,R,2504
156863,27,Y,B,B,1264
156863,28,G,Y,Y,1632
156863,29,Y,G,G,1904
156863,30,G,B,B,1344
156863,31,R,G,G,2616
156863,32,B,R,R,2096
156863,33,G,Y,Y,2384
156863,34,R,G,G,1608
156863,35,B,R,R,1720
156863,36,R,Y,Y,2464
156863,37,G,B,B,1712
156863,38,Y,R,R,1872
156863,39,B,Y,Y,2064
156863,40,R,B,B,1927
156863,41,G,R,R,2304
156863,42,Y,G,G,1616
156863,43,B,R,R,1936
156863,44,R,B,B,1848
156863,45,B,G,G,1888
156863,46,R,R,R,1908
156863,47,G,G,G,1320
156863,48,Y,Y,Y,1335
156863,49,G,G,G,1231
156863,50,Y,Y,Y,1271
156863,51,G,G,G,1127
156863,52,R,R,R,1807
156863,53,Y,Y,Y,1623
156863,54,G,G,G,1367
156863,55,R,R,G,1896
156863,56,G,G,G,1624
156863,57,Y,Y,Y,2976
156863,58,R,R,R,2256
156863,59,B,B,B,1831
156863,60,Y,Y,Y,2184
156863,61,R,R,R,1288
156863,62,Y,Y,Y,1503
156863,63,R,R,R,1295
156863,64,G,G,G,1312
156863,65,R,R,R,1120
156863,66,Y,Y,Y,1367
156863,67,G,G,G,2207
156863,68,R,R,R,1088
156863,69,B,B,B,1568
156863,70,G,G,G,1063
156863,71,R,R,R,1440
156863,72,G,G,G,1287
156863,73,B,B,B,1959
156863,74,R,R,R,1776
156863,75,G,G,G,1751
156863,76,R,R,R,2319
156863,77,Y,Y,Y,1800
156863,78,G,G,G,1983
156863,79,Y,Y,Y,2112
156863,80,G,G,G,2072
156863,81,Y,Y,Y,2231
156863,82,G,G,G,1791
156863,83,Y,Y,Y,1287
156863,84,R,R,R,1800
156863,85,B,B,B,1255
156863,86,G,G,G,1591
156863,87,R,R,R,3303
156863,88,Y,Y,Y,2512
156863,89,G,G,G,1848
156863,90,B,B,B,2048
156864,1,Y,G,G,3844
156864,2,B,R,R,3992
156864,3,R,G,G,1616
156864,4,Y,B,B,1408
156864,5,R,G,R,2304
156864,6,B,R,R,2496
156864,7,R,Y,Y,2624
156864,8,B,G,G,2464
156864,9,Y,B,Y,3200
156864,11,Y,B,B,1816
156864,12,B,R,R,2224
156864,13,G,Y,G,1968
156864,14,Y,B,B,2976
156864,15,B,R,R,2320
156864,16,Y,G,G,2120
156864,17,B,Y,Y,2632
156864,18,G,R,R,2592
156864,19,R,G,G,1943
156864,20,G,Y,Y,1935
156864,21,B,R,R,2472
156864,22,R,B,B,1832
156864,23,B,R,R,1695
156864,24,Y,B,B,3319
156864,25,G,Y,Y,3839
156864,26,B,R,R,2087
156864,27,G,B,B,2200
156864,28,Y,G,G,1615
156864,29,B,Y,Y,2031
156864,30,G,B,B,1599
156864,31,R,G,G,1329
156864,32,Y,B,B,1295
156864,33,G,R,R,1240
156864,34,R,Y,Y,1943
156864,35,Y,G,G,2944
156864,36,B,R,R,1952
156864,37,R,G,G,2984
156864,38,B,R,R,1631
156864,39,Y,G,G,2640
156864,40,G,Y,Y,2240
156864,41,Y,G,G,1848
156864,42,R,B,B,2464
156864,43,Y,G,G,4208
156864,44,G,R,R,1624
156864,45,R,G,G,1792
156864,46,Y,Y,Y,2149
156864,47,G,G,G,1712
156864,48,B,B,B,1583
156864,49,Y,Y,Y,1505
156864,50,B,B,B,1415
156864,51,R,R,R,1128
156864,52,G,G,G,1048
156864,53,B,B,B,1232
156864,54,G,G,G,1175
156864,55,Y,Y,Y,1089
156864,56,R,R,R,1000
156864,57,Y,Y,Y,959
156864,58,G,G,G,1096
156864,59,R,R,R,984
156864,60,G,G,G,983
156864,61,Y,Y,Y,1232
156864,62,B,B,B,1368
156864,63,Y,Y,Y,1704
156864,64,B,B,B,968
156864,65,G,G,G,1056
156864,66,Y,Y,Y,960
156864,67,B,B,B,1072
156864,68,Y,Y,Y,984
156864,69,B,B,B,1584
156864,70,G,G,G,536
156864,71,B,B,B,1184
156864,72,R,R,R,576
156864,73,B,B,B,848
156864,74,G,G,G,1168
156864,75,R,R,R,872
156864,76,Y,Y,Y,928
156864,77,B,B,B,1208
